COUNTRY,Country,VARIABLE,Variable,MEASURE,Measure,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,NAT,National currency,2013,2013,ALL,Lek,0,Units,,,7000000,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,NAT,National currency,2014,2014,ALL,Lek,0,Units,,,1000000,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,NAT,National currency,2015,2015,ALL,Lek,0,Units,,,0,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,NAT,National currency,2016,2016,ALL,Lek,0,Units,,,0,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,NAT,National currency,2017,2017,ALL,Lek,0,Units,,,0,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,NAT,National currency,2018,2018,ALL,Lek,0,Units,,,0,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,NAT,National currency,2019,2019,ALL,Lek,0,Units,,,2127000,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,NAT,National currency,2020,2020,ALL,Lek,0,Units,,,1345000,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,NAT,National currency,2021,2021,ALL,Lek,0,Units,,,1326000,,
ALB,Albania,I-MTN-RL,Rail infrastructure maintenance,EUR,Euro,2019,2019,EUR,Euro,0,Units,,,25280.08118,,
ALB,Albania,I-MTN-RL,Rail infrastructure maintenance,EUR,Euro,2020,2020,EUR,Euro,0,Units,,,22434.99666,,
ALB,Albania,I-MTN-RL,Rail infrastructure maintenance,EUR,Euro,2021,2021,EUR,Euro,0,Units,,,22780.73583,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2000,2000,EUR,Euro,0,Units,,,3838571.84,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2001,2001,EUR,Euro,0,Units,,,5705714.355,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2002,2002,EUR,Euro,0,Units,,,6824432.223,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2003,2003,EUR,Euro,0,Units,,,5767021.075,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2004,2004,EUR,Euro,0,Units,,,6829499.05,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2005,2005,EUR,Euro,0,Units,,,7110073.275,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2006,2006,EUR,Euro,0,Units,,,5670979.211,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2007,2007,EUR,Euro,0,Units,,,6046007.857,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2008,2008,EUR,Euro,0,Units,,,8056199.527,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2009,2009,EUR,Euro,0,Units,,,8741099.971,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2010,2010,EUR,Euro,0,Units,,,6892679.742,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2011,2011,EUR,Euro,0,Units,,,7682921.962,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2012,2012,EUR,Euro,0,Units,,,6652852.707,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2013,2013,EUR,Euro,0,Units,,,8745595.128,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2014,2014,EUR,Euro,0,Units,,,15262571.97,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2015,2015,EUR,Euro,0,Units,,,8374519.986,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2016,2016,EUR,Euro,0,Units,,,13004791.24,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2017,2017,EUR,Euro,0,Units,,,13593700.39,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2018,2018,EUR,Euro,0,Units,,,13444558.64,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2019,2019,EUR,Euro,0,Units,,,13050669.12,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2020,2020,EUR,Euro,0,Units,,,9058683.103,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2021,2021,EUR,Euro,0,Units,,,21515139.39,,
ALB,Albania,I-MTN-SEA,Maritime port infrastructure maintenance,EUR,Euro,2019,2019,EUR,Euro,0,Units,,,96233.43866,,
ALB,Albania,I-MTN-SEA,Maritime port infrastructure maintenance,EUR,Euro,2020,2020,EUR,Euro,0,Units,,,131387.6748,,
ALB,Albania,I-MTN-SEA,Maritime port infrastructure maintenance,EUR,Euro,2021,2021,EUR,Euro,0,Units,,,93466.33799,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR,Euro,2007,2007,EUR,Euro,0,Units,,,80828.98204,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR,Euro,2008,2008,EUR,Euro,0,Units,,,122187.0505,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR,Euro,2009,2009,EUR,Euro,0,Units,,,143792.9865,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR,Euro,2010,2010,EUR,Euro,0,Units,,,123472.6613,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR,Euro,2011,2011,EUR,Euro,0,Units,,,128286.2665,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR,Euro,2012,2012,EUR,Euro,0,Units,,,64730.45877,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR,Euro,2013,2013,EUR,Euro,0,Units,,,49893.37074,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR,Euro,2014,2014,EUR,Euro,0,Units,,,7145.398863,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR,Euro,2015,2015,EUR,Euro,0,Units,,,0,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR,Euro,2016,2016,EUR,Euro,0,Units,,,0,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR,Euro,2017,2017,EUR,Euro,0,Units,,,0,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR,Euro,2018,2018,EUR,Euro,0,Units,,,0,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR,Euro,2019,2019,EUR,Euro,0,Units,,,17295.18581,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR,Euro,2020,2020,EUR,Euro,0,Units,,,10862.15641,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR,Euro,2021,2021,EUR,Euro,0,Units,,,10826.97337,,
ALB,Albania,I-MTN-RL,Rail infrastructure maintenance,EUR_CONST,Constant Euro,2019,2019,EUR,Euro,0,Units,,,21924.45172,,
ALB,Albania,I-MTN-RL,Rail infrastructure maintenance,EUR_CONST,Constant Euro,2020,2020,EUR,Euro,0,Units,,,19551.73715,,
ALB,Albania,I-MTN-RL,Rail infrastructure maintenance,EUR_CONST,Constant Euro,2021,2021,EUR,Euro,0,Units,,,19276.07065,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2000,2000,EUR,Euro,0,Units,,,3506519.807,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2001,2001,EUR,Euro,0,Units,,,4748055.188,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2002,2002,EUR,Euro,0,Units,,,7489468.805,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2003,2003,EUR,Euro,0,Units,,,6413631.126,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2004,2004,EUR,Euro,0,Units,,,6836278.848,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2005,2005,EUR,Euro,0,Units,,,6832710.693,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2006,2006,EUR,Euro,0,Units,,,5343402.304,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2007,2007,EUR,Euro,0,Units,,,5588691.674,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2008,2008,EUR,Euro,0,Units,,,7290396.073,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2009,2009,EUR,Euro,0,Units,,,8514062.148,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2010,2010,EUR,Euro,0,Units,,,6973989.95,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2011,2011,EUR,Euro,0,Units,,,7881522.699,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2012,2012,EUR,Euro,0,Units,,,6721706.787,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2013,2013,EUR,Euro,0,Units,,,8835522.557,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2014,2014,EUR,Euro,0,Units,,,15334871.87,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2015,2015,EUR,Euro,0,Units,,,8374519.986,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2016,2016,EUR,Euro,0,Units,,,12783668.97,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2017,2017,EUR,Euro,0,Units,,,12964907.57,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2018,2018,EUR,Euro,0,Units,,,12117938.4,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2019,2019,EUR,Euro,0,Units,,,11318348.35,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2020,2020,EUR,Euro,0,Units,,,7894495.983,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR_CONST,Constant Euro,2021,2021,EUR,Euro,0,Units,,,18205177.84,,
ALB,Albania,I-MTN-SEA,Maritime port infrastructure maintenance,EUR_CONST,Constant Euro,2019,2019,EUR,Euro,0,Units,,,83459.59668,,
ALB,Albania,I-MTN-SEA,Maritime port infrastructure maintenance,EUR_CONST,Constant Euro,2020,2020,EUR,Euro,0,Units,,,114502.2361,,
ALB,Albania,I-MTN-SEA,Maritime port infrastructure maintenance,EUR_CONST,Constant Euro,2021,2021,EUR,Euro,0,Units,,,79087.16157,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR_CONST,Constant Euro,2007,2007,EUR,Euro,0,Units,,,74715.12933,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR_CONST,Constant Euro,2008,2008,EUR,Euro,0,Units,,,110572.2357,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR_CONST,Constant Euro,2009,2009,EUR,Euro,0,Units,,,140058.1652,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR_CONST,Constant Euro,2010,2010,EUR,Euro,0,Units,,,124929.2193,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR_CONST,Constant Euro,2011,2011,EUR,Euro,0,Units,,,131602.4198,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR_CONST,Constant Euro,2012,2012,EUR,Euro,0,Units,,,65400.39036,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR_CONST,Constant Euro,2013,2013,EUR,Euro,0,Units,,,50406.40415,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR_CONST,Constant Euro,2014,2014,EUR,Euro,0,Units,,,7179.247131,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR_CONST,Constant Euro,2015,2015,EUR,Euro,0,Units,,,0,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR_CONST,Constant Euro,2016,2016,EUR,Euro,0,Units,,,0,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR_CONST,Constant Euro,2017,2017,EUR,Euro,0,Units,,,0,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR_CONST,Constant Euro,2018,2018,EUR,Euro,0,Units,,,0,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR_CONST,Constant Euro,2019,2019,EUR,Euro,0,Units,,,14999.45603,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR_CONST,Constant Euro,2020,2020,EUR,Euro,0,Units,,,9466.193834,,
ALB,Albania,I-MTN-AIR,Airport infrastructure maintenance,EUR_CONST,Constant Euro,2021,2021,EUR,Euro,0,Units,,,9161.3153,,
ARM,Armenia,I-MTN-RL,Rail infrastructure maintenance,NAT,National currency,2008,2008,AMD,Armenian Dram,0,Units,,,0,,
ARM,Armenia,I-MTN-RL,Rail infrastructure maintenance,NAT,National currency,2009,2009,AMD,Armenian Dram,0,Units,,,0,,
ARM,Armenia,I-MTN-RL,Rail infrastructure maintenance,NAT,National currency,2010,2010,AMD,Armenian Dram,0,Units,,,0,,
ARM,Armenia,I-MTN-RL,Rail infrastructure maintenance,NAT,National currency,2011,2011,AMD,Armenian Dram,0,Units,,,0,,
ARM,Armenia,I-MTN-RL,Rail infrastructure maintenance,NAT,National currency,2012,2012,AMD,Armenian Dram,0,Units,,,0,,
ARM,Armenia,I-MTN-RL,Rail infrastructure maintenance,NAT,National currency,2013,2013,AMD,Armenian Dram,0,Units,,,0,,
ARM,Armenia,I-MTN-RL,Rail infrastructure maintenance,NAT,National currency,2014,2014,AMD,Armenian Dram,0,Units,,,0,,
ARM,Armenia,I-MTN-RL,Rail infrastructure maintenance,NAT,National currency,2015,2015,AMD,Armenian Dram,0,Units,,,0,,
ARM,Armenia,I-MTN-RL,Rail infrastructure maintenance,NAT,National currency,2016,2016,AMD,Armenian Dram,0,Units,,,0,,
ARM,Armenia,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2005,2005,AMD,Armenian Dram,0,Units,,,5000000000,,
ARM,Armenia,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2006,2006,AMD,Armenian Dram,0,Units,,,5000000000,,
ARM,Armenia,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2007,2007,AMD,Armenian Dram,0,Units,,,5000000000,,
ARM,Armenia,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2008,2008,AMD,Armenian Dram,0,Units,,,5000000000,,
ARM,Armenia,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2009,2009,AMD,Armenian Dram,0,Units,,,5004800000,,
ARM,Armenia,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2010,2010,AMD,Armenian Dram,0,Units,,,5441300000,,
ARM,Armenia,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2011,2011,AMD,Armenian Dram,0,Units,,,5314300000,,
ARM,Armenia,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2012,2012,AMD,Armenian Dram,0,Units,,,5527700000,,
ARM,Armenia,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2013,2013,AMD,Armenian Dram,0,Units,,,5485800000,,
ARM,Armenia,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2014,2014,AMD,Armenian Dram,0,Units,,,5550300000,,
ARM,Armenia,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2015,2015,AMD,Armenian Dram,0,Units,,,5958700000,,
ARM,Armenia,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2016,2016,AMD,Armenian Dram,0,Units,,,6160200000,,
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2000,2000,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2001,2001,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2002,2002,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2003,2003,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2004,2004,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2005,2005,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2006,2006,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2007,2007,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2008,2008,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2009,2009,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2010,2010,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2011,2011,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2012,2012,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2013,2013,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2014,2014,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2015,2015,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2016,2016,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2017,2017,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2018,2018,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2019,2019,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2020,2020,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-IWW,Inland waterway infrastucture maintenance,NAT,National currency,2021,2021,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2000,2000,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2001,2001,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2002,2002,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2003,2003,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2004,2004,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2005,2005,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2006,2006,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2007,2007,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2008,2008,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2009,2009,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2010,2010,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2011,2011,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2012,2012,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2013,2013,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2014,2014,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2015,2015,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2016,2016,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2017,2017,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2018,2018,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2019,2019,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2020,2020,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-SEA,Maritime port infrastructure maintenance,NAT,National currency,2021,2021,AMD,Armenian Dram,0,Units,,,,M,Missing value; data cannot exist
ARM,Armenia,I-MTN-RL,Rail infrastructure maintenance,EUR,Euro,2008,2008,EUR,Euro,0,Units,,,0,,
ARM,Armenia,I-MTN-RL,Rail infrastructure maintenance,EUR,Euro,2009,2009,EUR,Euro,0,Units,,,0,,
ARM,Armenia,I-MTN-RL,Rail infrastructure maintenance,EUR,Euro,2010,2010,EUR,Euro,0,Units,,,0,,
ARM,Armenia,I-MTN-RL,Rail infrastructure maintenance,EUR,Euro,2011,2011,EUR,Euro,0,Units,,,0,,
